fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,quality_category,so2_ratio,acid_alcohol_balance,sugar_acid_ratio
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.0,1.0,0.3142857142857143,13.409415121255352,0.2567220645858667
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5.0,1.0,0.36764705882352944,11.12372304199773,0.3332906037687476
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5.0,1.0,0.2727272727272727,12.87779237844941,0.29483399564158436
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6.0,1.0,0.2786885245901639,34.87544483985765,0.16962771181144543
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.0,1.0,0.3142857142857143,13.409415121255352,0.2567220645858667
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5.0,1.0,0.3170731707317073,14.22087745839637,0.2432103769760843
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5.0,1.0,0.25,15.640599001663894,0.2025060118972282
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7.0,2.0,0.6818181818181818,15.360983102918587,0.16436104643199562
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7.0,2.0,0.47368421052631576,16.351118760757316,0.25637738751442124
7.5,0.5,0.36,3.6500000000000004,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5.0,1.0,0.1650485436893204,20.95808383233533,0.48660178642847624
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5.0,1.0,0.22727272727272727,15.834767641996557,0.26861662438442024
7.5,0.5,0.36,3.6500000000000004,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5.0,1.0,0.1650485436893204,20.95808383233533,0.48660178642847624
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5.0,1.0,0.26666666666666666,16.071428571428573,0.285663274415283
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,0.9999999999999999,9.1,5.0,1.0,0.3,14.893617021276595,0.205101910011537
8.9,0.62,0.18,3.6500000000000004,0.11999999999999998,42.0,122.0,0.9986,3.16,0.88,9.2,5.0,1.0,0.34146341463414637,14.814814814814813,0.41006628468711387
8.9,0.62,0.19,3.6500000000000004,0.11999999999999998,42.0,122.0,0.9986,3.17,0.93,9.2,5.0,1.0,0.34146341463414637,14.814814814814813,0.41006628468711387
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7.0,2.0,0.33653846153846156,37.36654804270462,0.21173979531819787
