,model,selector,cv_macro_f1_mean,cv_macro_f1_std
0,RF,anova,0.5328833207894964,0.027001972012322583
1,RF,mi,0.5230717928017758,0.009588140242358146
2,GBDT,mi,0.4909017230186885,0.01362581213602633
3,GBDT,anova,0.48684725356619474,0.03320782340119688
4,SVM,anova,0.4496188972707856,0.024579399420561913
5,SVM,mi,0.44238811185169624,0.03720728428387024
6,LogReg,mi,0.4207738407624698,0.03354750782072592
7,KNN,anova,0.42033688046666945,0.027202444797926145
8,KNN,mi,0.4186316570922399,0.015300220649751181
9,LogReg,anova,0.4139735856791432,0.034080288817716166
10,Ridge,anova,0.3969461315836003,0.045154005196797097
11,Ridge,mi,0.3893208100431085,0.04931253848006123
