model_name,repeat,fold,n_features,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,ordinal_mae,severe_error_rate,within_1_accuracy,error
logistic_regression,1,1,41,0.60625,0.8358013634462076,0.60625,0.6610458956322842,0.4905801988891481,0.396875,0.003125,0.996875,
random_forest,1,1,41,0.853125,0.8101892996800568,0.853125,0.8267104776008886,0.4786210868402649,0.146875,0.0,1.0,
gradient_boosting,1,1,41,0.8625,0.8447251773049645,0.8625,0.8463736263736263,0.554090354090354,0.1375,0.0,1.0,
svm,1,1,41,0.634375,0.8152307688318153,0.634375,0.6852234773508065,0.492340555694593,0.371875,0.00625,0.99375,
knn,1,1,41,0.834375,0.8190113368669023,0.834375,0.8198407710890571,0.5732221008729236,0.165625,0.0,1.0,
naive_bayes,1,1,41,0.678125,0.8252707620834719,0.678125,0.7183385186378619,0.5300251761747546,0.325,0.003125,0.996875,
decision_tree,1,1,41,0.84375,0.8383243367906651,0.84375,0.84029573381793,0.5836679358486212,0.159375,0.003125,0.996875,
ada_boost,1,1,41,0.790625,0.7967267650303365,0.790625,0.7934044054154075,0.4904517636738694,0.209375,0.0,1.0,
ridge,1,1,41,0.85,0.8294081125827816,0.85,0.8153924785461888,0.4860171630489652,0.15,0.0,1.0,
logistic_regression,1,2,41,0.64375,0.8401839710487039,0.64375,0.6971450456398851,0.500077224847867,0.36875,0.0125,0.9875,
random_forest,1,2,41,0.8875,0.8497676125244619,0.8875,0.8624278042354849,0.53710271219644,0.1125,0.0,1.0,
gradient_boosting,1,2,41,0.875,0.8585714285714285,0.875,0.8629493464052288,0.6051198257080609,0.125,0.0,1.0,
svm,1,2,41,0.690625,0.8212229196881798,0.690625,0.7306176554733803,0.5133473742112955,0.315625,0.00625,0.99375,
knn,1,2,41,0.84375,0.8032804802955665,0.84375,0.8186753190623888,0.4722631819799665,0.15625,0.0,1.0,
naive_bayes,1,2,41,0.65,0.784845362970363,0.65,0.6934235074626866,0.43683755137356695,0.35625,0.00625,0.99375,
decision_tree,1,2,41,0.828125,0.8169007352941176,0.828125,0.8210923005565862,0.4984539270253556,0.171875,0.0,1.0,
ada_boost,1,2,41,0.790625,0.790935435962648,0.790625,0.790335528078122,0.4955846700002165,0.209375,0.0,1.0,
ridge,1,2,41,0.85,0.8035625,0.85,0.8145094562647754,0.4531126871552404,0.15,0.0,1.0,
logistic_regression,1,3,41,0.628125,0.8219095501880908,0.628125,0.6835513646642282,0.4839696811353959,0.378125,0.00625,0.99375,
random_forest,1,3,41,0.865625,0.8236504237288136,0.865625,0.8366303733031675,0.4939668174962293,0.134375,0.0,1.0,
gradient_boosting,1,3,41,0.853125,0.8171021580010095,0.853125,0.8333601403928187,0.5012734573977718,0.146875,0.0,1.0,
svm,1,3,41,0.675,0.8265038780663782,0.675,0.7199980643141907,0.5248723271061908,0.328125,0.003125,0.996875,
knn,1,3,41,0.840625,0.7945466848978681,0.840625,0.8142866306632129,0.4647540850072496,0.159375,0.0,1.0,
naive_bayes,1,3,41,0.63125,0.7898190154440153,0.63125,0.6775474739416736,0.4496135696477541,0.378125,0.009375,0.990625,
decision_tree,1,3,41,0.8,0.814688852813853,0.8,0.80578280730897,0.5093988698639861,0.20625,0.00625,0.99375,
ada_boost,1,3,41,0.796875,0.7695012210925041,0.796875,0.7782163720332762,0.45887593000389676,0.203125,0.0,1.0,
ridge,1,3,41,0.84375,0.7952611019736843,0.84375,0.8024826927667702,0.42828439563937293,0.15625,0.0,1.0,
logistic_regression,1,4,41,0.63125,0.8380233990147783,0.63125,0.6859294871794872,0.500071225071225,0.38125,0.0125,0.9875,
random_forest,1,4,41,0.871875,0.8338166810841983,0.871875,0.8485082922539572,0.5186653124922589,0.128125,0.0,1.0,
gradient_boosting,1,4,41,0.878125,0.862921408602624,0.878125,0.8637262069800193,0.5839069330751401,0.121875,0.0,1.0,
svm,1,4,41,0.65,0.8445140020021039,0.65,0.6996499764957581,0.5132262049882458,0.359375,0.009375,0.990625,
knn,1,4,41,0.840625,0.80105163476874,0.840625,0.8185536202185792,0.4702489374620522,0.165625,0.00625,0.99375,
naive_bayes,1,4,41,0.640625,0.8195335774577954,0.640625,0.6876880181602842,0.483515773606575,0.36875,0.009375,0.990625,
decision_tree,1,4,41,0.803125,0.7990930246144259,0.803125,0.8007865452967433,0.475202512812035,0.2,0.003125,0.996875,
ada_boost,1,4,41,0.79375,0.7892878250591017,0.79375,0.7912626262626262,0.48493265993265994,0.20625,0.0,1.0,
ridge,1,4,41,0.83125,0.7779384853603604,0.83125,0.7975919509594883,0.430543710021322,0.16875,0.0,1.0,
logistic_regression,1,5,41,0.6394984326018809,0.8549813583537439,0.6394984326018809,0.6943396223995091,0.5033165194268115,0.3730407523510972,0.012539184952978056,0.987460815047022,
